timestamp,underlying,direction,signal_model,signal_score,contract_symbol,broker_symbol,exchange_id,exchange_segment,security_id,expiry,strike,moneyness,resolver_source,ltp,bid,ask,bid_qty,ask_qty,volume,open_interest,spread_pct,health_score,confidence,grade,accepted,reasons,lot_size,quantity,entry_limit,target_price,stop_price,size_fraction
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1340-CE,JSWSTEEL 29 SEP 1340 CALL,NSE,NSE_FNO,86805,2026-09-29,1340.0,ATM,INSTRUMENT_MASTER,31.05,30.95,31.3,675.0,1350.0,1042200.0,423225.0,1.12,89.0,A,A+,True,,675,675,31.36,36.06,29.01,1.0
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1320-CE,JSWSTEEL 29 SEP 1320 CALL,NSE,NSE_FNO,119288,2026-09-29,1320.0,ITM,INSTRUMENT_MASTER,42.0,42.0,42.35,675.0,1350.0,940950.0,477225.0,0.83,89.0,A,A+,True,,675,675,42.43,48.79,39.25,1.0
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1360-CE,JSWSTEEL 29 SEP 1360 CALL,NSE,NSE_FNO,119290,2026-09-29,1360.0,OTM,INSTRUMENT_MASTER,22.25,22.05,22.25,1350.0,675.0,861975.0,398250.0,0.9,89.0,A,A+,True,,675,675,22.29,25.63,20.62,1.0
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1300-CE,JSWSTEEL 29 SEP 1300 CALL,NSE,NSE_FNO,86803,2026-09-29,1300.0,ITM,INSTRUMENT_MASTER,56.15,55.05,55.55,675.0,675.0,371250.0,273375.0,0.9,89.0,A,A+,True,,675,,,,,
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1380-CE,JSWSTEEL 29 SEP 1380 CALL,NSE,NSE_FNO,86807,2026-09-29,1380.0,OTM,INSTRUMENT_MASTER,15.75,15.3,15.45,675.0,675.0,315900.0,190350.0,0.98,79.0,A,A,False,PREMIUM_OUTSIDE_20_350,675,,,,,
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1280-CE,JSWSTEEL 29 SEP 1280 CALL,NSE,NSE_FNO,119286,2026-09-29,1280.0,ITM,INSTRUMENT_MASTER,69.45,69.95,71.5,675.0,675.0,57375.0,113400.0,2.19,82.0,A,A,True,,675,,,,,
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1400-CE,JSWSTEEL 29 SEP 1400 CALL,NSE,NSE_FNO,119292,2026-09-29,1400.0,OTM,INSTRUMENT_MASTER,10.4,10.25,10.4,3375.0,2700.0,607500.0,332100.0,1.45,83.0,A,A,False,PREMIUM_OUTSIDE_20_350,675,,,,,
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1260-CE,JSWSTEEL 29 SEP 1260 CALL,NSE,NSE_FNO,86799,2026-09-29,1260.0,ITM,INSTRUMENT_MASTER,75.25,84.95,89.1,2025.0,675.0,1350.0,41850.0,4.77,61.0,A,C,True,,675,,,,,
2026-08-26T14:27:28,JSWSTEEL,BULL,BREAKOUT_CONTINUATION,100.0,JSWSTEEL-Sep2026-1420-CE,JSWSTEEL 29 SEP 1420 CALL,NSE,NSE_FNO,86809,2026-09-29,1420.0,OTM,INSTRUMENT_MASTER,7.0,6.75,6.85,2025.0,675.0,421200.0,253125.0,1.47,79.0,A,A,False,PREMIUM_OUTSIDE_20_350,675,,,,,
2026-08-26T14:30:27,GRASIM,BULL,VWAP_PULLBACK,100.0,GRASIM-Sep2026-3300-CE,GRASIM 29 SEP 3300 CALL,NSE,NSE_FNO,76841,2026-09-29,3300.0,ATM,INSTRUMENT_MASTER,71.4,69.75,70.85,250.0,250.0,284750.0,325750.0,1.56,89.0,A,A+,True,,250,250,70.99,81.64,65.67,1.0
